model_name,vehicle_class,fleet_vehicle_days,booked_hours,booked_revenue_krw,stockout_days,booked_vehicle_days,utilization_rate,repair_cost_raw_krw,repair_cost_winsorized_krw,repair_cost_removed_as_excess_krw,repair_cost_outlier_cap_vehicle_level_krw,depreciation_cost_krw,depreciation_status,profit_proxy_before_depreciation_krw,profit_margin_proxy_before_depreciation
25년 쏠라티(15인/경유),RV,2348,5523.583333333333,52167620.0,1,230.14930555555554,0.09801929538141207,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,52167620.0,1.0
23년 4세대 카니발 9인승(경유),RV,12348,19721.733333333334,51031864.0,0,821.7388888888889,0.0665483389122845,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,51031864.0,1.0
24년 더뉴그랜저 하이브리드(휘),LUXURY,2940,15882.733333333334,49165490.0,7,661.7805555555556,0.22509542705971278,176660.0,176660.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,48988830.0,0.9964068292617444
25년 카니발리무진 7인승(경유),RV,2240,13203.083333333334,48466680.0,10,550.1284722222223,0.24559306795634925,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,48466680.0,1.0
25년 BMW 미니 컨버터블(휘),IMPORTED,2280,13273.866666666667,49328985.0,4,553.0777777777778,0.24257797270955167,904136.0,904136.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,48424849.0,0.9816713033929241
25년 BMW 미니 컨트리맨 4륜(휘),IMPORTED,3192,13789.216666666667,46950230.0,0,574.5506944444445,0.17999708472570317,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,46950230.0,1.0
21년 아이오닉5(전기),EV,5880,23553.016666666666,44685995.0,0,981.3756944444444,0.1669006283068783,3645600.0,2594566.000000001,1051033.999999999,908483.0000000005,,unavailable_purchase_sale_fields,42091429.0,0.9419378263816214
22년 캐스퍼(휘),URBAN,5880,32320.15,42812525.0,0,1346.6729166666667,0.22902600623582767,1062050.0,1062050.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,41750475.0,0.9751930071865651
24년 더 뉴 쏘렌토 하이브리드(7인/휘),SUV,2940,15418.4,41498970.0,3,642.4333333333333,0.21851473922902492,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,41498970.0,1.0
23년 스타리아  9인승 4륜(경유),RV,5880,12450.616666666667,42499247.0,0,518.7756944444444,0.0882271589191232,4489390.0,1058483.0000000005,3430906.9999999995,908483.0000000005,,unavailable_purchase_sale_fields,41440764.0,0.9750940763726943
24년 더 뉴 카니발 9인승(휘),RV,2940,12992.733333333334,40320315.0,2,541.3638888888889,0.18413737717309148,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,40320315.0,1.0
21년 벤츠G63 AMG 지바겐(휘),SUPERCAR,588,1956.6166666666666,41158890.0,122,81.52569444444444,0.1386491402116402,2425000.0,908483.0000000005,1516516.9999999995,908483.0000000005,,unavailable_purchase_sale_fields,40250407.0,0.9779274173817613
23년 지프 랭글러 파워탑(휘),IMPORTED,2352,9790.966666666667,39893750.0,6,407.95694444444445,0.17345108182161753,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,39893750.0,1.0
24년 스타리아라운지 4륜 7인승(경유),RV,2940,9508.9,37450550.0,0,396.20416666666665,0.13476332199546484,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,37450550.0,1.0
25년 GV80 쿠페 4륜(5인/휘),SUV,1176,7994.4,37207358.0,83,333.09999999999997,0.28324829931972784,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,37207358.0,1.0
25년 팰리세이드 하이브리드 4륜 (휘),SUV,1632,10417.1,37191084.0,8,434.04583333333335,0.2659594566993464,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,37191084.0,1.0
24년 코나(휘),SUV,2940,20653.516666666666,37051145.0,13,860.5631944444444,0.29270856953892666,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,37051145.0,1.0
23년 팰리세이드 4륜(8인/경유),SUV,5746,13264.583333333334,36914050.0,0,552.6909722222223,0.09618708183470628,40513.0,40513.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,36873537.0,0.9989025046019063
24년 더 뉴 쏘렌토 하이브리드 4륜(5인/휘),SUV,2352,13837.466666666667,36846976.0,12,576.5611111111111,0.24513652683295542,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,36846976.0,1.0
