dimension,segment,stage,stage_rank,segment_users,segment_reached,segment_rate,rest_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
campaign,120244330531970340,booking_started,5,11,0,0.0,0.14321203069779823,-0.14321203069779823,-1.3559494879805296,0.17511524017296173,False,0.3140516834397313,False,lower,funnel_stage_reach
campaign,120244330531970340,insurance_viewed,6,11,0,0.0,0.14321203069779823,-0.14321203069779823,-1.3559494879805296,0.17511524017296173,False,0.3140516834397313,False,lower,funnel_stage_reach
campaign,120244330531970340,insurance_selected,7,11,0,0.0,0.14321203069779823,-0.14321203069779823,-1.3559494879805296,0.17511524017296173,False,0.3140516834397313,False,lower,funnel_stage_reach
campaign,120244330531970340,checkout_started,8,11,0,0.0,0.14321203069779823,-0.14321203069779823,-1.3559494879805296,0.17511524017296173,False,0.3140516834397313,False,lower,funnel_stage_reach
campaign,120244330531970340,payment_attempted,9,11,0,0.0,0.0464163721590489,-0.0464163721590489,-0.7317299435095914,0.4643334162354315,False,0.6607821692581141,False,lower,funnel_stage_reach
campaign,120244330531970340,payment_completed,10,11,0,0.0,0.04381386132757627,-0.04381386132757627,-0.7099524581851907,0.4777336183348226,False,0.6670242972976769,False,lower,funnel_stage_reach
campaign,120246521735130340,anonymous_visit,1,35,35,1.0,1.0,0.0,0.0,1.0,False,1.0,False,lower,funnel_stage_reach
campaign,120246521735130340,identified_visit,2,35,0,0.0,0.28668846057127645,-0.28668846057127645,-3.7501992911496873,0.00017669408450674077,False,0.0005684940110216877,True,lower,funnel_stage_reach
campaign,120246521735130340,search_started,3,35,0,0.0,0.28427732497078534,-0.28427732497078534,-3.728104852808941,0.000192925113109299,False,0.0006153645849175917,True,lower,funnel_stage_reach
campaign,120246521735130340,car_clicked,4,35,0,0.0,0.2277413724243007,-0.2277413724243007,-3.2124802783972903,0.0013159418296056242,False,0.0035801358599564775,True,lower,funnel_stage_reach
campaign,120246521735130340,booking_started,5,35,0,0.0,0.14326287294942533,-0.14326287294942533,-2.4191247660556803,0.015557902921918911,False,0.035100146836036565,True,lower,funnel_stage_reach
campaign,120246521735130340,insurance_viewed,6,35,0,0.0,0.14326287294942533,-0.14326287294942533,-2.4191247660556803,0.015557902921918911,False,0.035100146836036565,True,lower,funnel_stage_reach
campaign,120246521735130340,insurance_selected,7,35,0,0.0,0.14326287294942533,-0.14326287294942533,-2.4191247660556803,0.015557902921918911,False,0.035100146836036565,True,lower,funnel_stage_reach
campaign,120246521735130340,checkout_started,8,35,0,0.0,0.14326287294942533,-0.14326287294942533,-2.4191247660556803,0.015557902921918911,False,0.035100146836036565,True,lower,funnel_stage_reach
