dimension,segment,insurance_metric,denominator,segment_n,segment_successes,segment_rate,rest_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
campaign,{{campaign.name}},event_selected_all_users,all_users,187,7,0.0374331550802139,0.024224992957850883,0.013208162122363018,1.1722935664209049,0.24107921370613072,True,0.5869754768497096,False,higher,insurance_selection
campaign,(unknown),reservation_insurance_row_reservation_users,reservation_users,8309,8204,0.987363100252738,0.9927325581395349,-0.00536945788679688,-1.7031737713659738,0.0885355535629828,True,0.2609468947119493,False,lower,insurance_selection
campaign,120244167499720340,reservation_insurance_row_reservation_users,reservation_users,5,5,1.0,0.9881198347107438,0.011880165289256173,0.2451828490757492,0.8063148556198225,False,0.9293002762569499,False,higher,insurance_selection
campaign,120246525617030340,reservation_insurance_row_reservation_users,reservation_users,1,1,1.0,0.988124741842214,0.011875258157786006,0.10962645573533153,0.9127056284666473,False,0.9293002762569499,False,higher,insurance_selection
campaign,23205597293,reservation_insurance_row_reservation_users,reservation_users,201,199,0.9900497512437811,0.9880851961197806,0.001964555124000511,0.2544502864579109,0.7991477060023837,True,0.9293002762569499,False,higher,insurance_selection
campaign,23683448292,reservation_insurance_row_reservation_users,reservation_users,70,68,0.9714285714285714,0.988247529901196,-0.0168189584726246,-1.2943975612418785,0.1955281326032293,True,0.5214083536086115,False,lower,insurance_selection
campaign,23688781100,reservation_insurance_row_reservation_users,reservation_users,261,260,0.9961685823754789,0.9879032258064516,0.008265356569027271,1.2160303371303773,0.22397336566581297,True,0.5701140216947966,False,higher,insurance_selection
campaign,23725606539,reservation_insurance_row_reservation_users,reservation_users,4,4,1.0,0.9881210618737734,0.011878938126226646,0.21928688047101816,0.8264265810749172,False,0.9293002762569499,False,higher,insurance_selection
campaign,23735454208,reservation_insurance_row_reservation_users,reservation_users,326,322,0.9877300613496932,0.9881397585212095,-0.0004096971715162878,-0.06713228239712614,0.9464763942190236,True,0.9464763942190236,False,lower,insurance_selection
campaign,23754383997,reservation_insurance_row_reservation_users,reservation_users,446,446,1.0,0.9875527654508064,0.012447234549193609,2.3702693987680763,0.017775128313496775,True,0.0711005132539871,False,higher,insurance_selection
campaign,23754385140,reservation_insurance_row_reservation_users,reservation_users,1,1,1.0,0.988124741842214,0.011875258157786006,0.10962645573533153,0.9127056284666473,False,0.9293002762569499,False,higher,insurance_selection
campaign,BFF_program,reservation_insurance_row_reservation_users,reservation_users,8,8,1.0,0.988116151699907,0.011883848300093036,0.31018256772066644,0.7564221261675375,False,0.9293002762569499,False,higher,insurance_selection
campaign,INFLUENCER,reservation_insurance_row_reservation_users,reservation_users,20,19,0.95,0.9882048629073978,-0.038204862907397885,-1.5757216280440676,0.1150899707981914,False,0.32225191823493593,False,lower,insurance_selection
campaign,abandoned_reservation_v2,reservation_insurance_row_reservation_users,reservation_users,4,4,1.0,0.9881210618737734,0.011878938126226646,0.21928688047101816,0.8264265810749172,False,0.9293002762569499,False,higher,insurance_selection
