dimension,segment,users,reservation_users,paid_users,insurance_event_users,insurance_row_users,avg_event_count,avg_reservation_count,reservation_rate,paid_user_rate,paid_after_reservation_rate,insurance_event_rate_all_users,insurance_row_rate_all_users,insurance_row_rate_reservation_users
language,ko,2152,25,13,8,25,2.9019516728624537,0.3020446096654275,0.011617100371747211,0.0060408921933085506,0.52,0.0037174721189591076,0.011617100371747211,1.0
language,fr,400,28,12,15,28,7.2475,0.2675,0.07,0.03,0.42857142857142855,0.0375,0.07,1.0
language,es,331,28,11,19,28,7.848942598187311,0.19939577039274925,0.08459214501510574,0.03323262839879154,0.39285714285714285,0.05740181268882175,0.08459214501510574,1.0
language,nl,145,19,10,11,19,13.041379310344828,0.38620689655172413,0.1310344827586207,0.06896551724137931,0.5263157894736842,0.07586206896551724,0.1310344827586207,1.0
language,it,119,18,7,13,17,10.789915966386555,0.3949579831932773,0.15126050420168066,0.058823529411764705,0.3888888888888889,0.1092436974789916,0.14285714285714285,0.9444444444444444
language,ja,219,10,5,6,10,7.045662100456621,0.5844748858447488,0.045662100456621,0.0228310502283105,0.5,0.0273972602739726,0.045662100456621,1.0
language,ru,306,13,4,7,13,4.607843137254902,0.09477124183006536,0.042483660130718956,0.013071895424836602,0.3076923076923077,0.02287581699346405,0.042483660130718956,1.0
language,da,31,6,4,5,6,22.483870967741936,0.7096774193548387,0.1935483870967742,0.12903225806451613,0.6666666666666666,0.16129032258064516,0.1935483870967742,1.0
language,pt,79,7,3,5,7,8.037974683544304,0.21518987341772153,0.08860759493670886,0.0379746835443038,0.42857142857142855,0.06329113924050633,0.08860759493670886,1.0
language,ar,236,2,1,1,2,2.0084745762711864,0.012711864406779662,0.00847457627118644,0.00423728813559322,0.5,0.00423728813559322,0.00847457627118644,1.0
language,ca,14,1,1,1,1,3.857142857142857,0.07142857142857142,0.07142857142857142,0.07142857142857142,1.0,0.07142857142857142,0.07142857142857142,1.0
language,cy,11,1,1,0,1,9.454545454545455,0.18181818181818182,0.09090909090909091,0.09090909090909091,1.0,0.0,0.09090909090909091,1.0
language,sv,11,2,1,0,2,9.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.5,0.0,0.18181818181818182,1.0
language,hr,9,2,1,2,2,12.444444444444445,0.7777777777777778,0.2222222222222222,0.1111111111111111,0.5,0.2222222222222222,0.2222222222222222,1.0
language,sq,6,1,1,0,1,23.166666666666668,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.0,0.16666666666666666,1.0
language,lt,1,1,1,0,1,69.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0
language,id,4489,1,0,0,1,1.086879037647583,0.00044553352639786146,0.00022276676319893073,0.0,0.0,0.0,0.00022276676319893073,1.0
language,th,1279,1,0,0,1,1.2845973416731822,0.0007818608287724785,0.0007818608287724785,0.0,0.0,0.0,0.0007818608287724785,1.0
language,ms,319,0,0,0,0,1.2288401253918495,0.0,0.0,0.0,,0.0,0.0,
language,vi,109,5,0,1,5,4.247706422018348,0.05504587155963303,0.045871559633027525,0.0,0.0,0.009174311926605505,0.045871559633027525,1.0
language,tr,102,1,0,1,1,1.6470588235294117,0.00980392156862745,0.00980392156862745,0.0,0.0,0.00980392156862745,0.00980392156862745,1.0
language,fil,82,0,0,0,0,1.4268292682926829,0.0,0.0,0.0,,0.0,0.0,
language,my,68,0,0,0,0,1.1176470588235294,0.0,0.0,0.0,,0.0,0.0,
language,ro,46,1,0,1,1,2.5434782608695654,0.043478260869565216,0.021739130434782608,0.0,0.0,0.021739130434782608,0.021739130434782608,1.0
language,uk,34,2,0,1,2,3.176470588235294,0.058823529411764705,0.058823529411764705,0.0,0.0,0.029411764705882353,0.058823529411764705,1.0
language,pl,33,4,0,2,4,8.666666666666666,0.18181818181818182,0.12121212121212122,0.0,0.0,0.06060606060606061,0.12121212121212122,1.0
language,cs,24,4,0,2,4,12.166666666666666,0.2916666666666667,0.16666666666666666,0.0,0.0,0.08333333333333333,0.16666666666666666,1.0
language,hi,17,0,0,0,0,1.0588235294117647,0.0,0.0,0.0,,0.0,0.0,
language,he,14,0,0,0,0,3.857142857142857,0.0,0.0,0.0,,0.0,0.0,
language,nb,12,0,0,0,0,6.333333333333333,0.0,0.0,0.0,,0.0,0.0,
language,az,9,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,bn,9,0,0,0,0,1.4444444444444444,0.0,0.0,0.0,,0.0,0.0,
language,km,8,0,0,0,0,1.25,0.0,0.0,0.0,,0.0,0.0,
language,bg,4,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,gu,4,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,hu,4,0,0,0,0,8.0,0.0,0.0,0.0,,0.0,0.0,
language,hy,4,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,sk,4,2,0,1,2,20.5,0.75,0.5,0.0,0.0,0.25,0.5,1.0
language,sr,4,1,0,1,1,4.5,0.25,0.25,0.0,0.0,0.25,0.25,1.0
language,el,3,0,0,0,0,2.0,0.0,0.0,0.0,,0.0,0.0,
language,et,3,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,fi,3,0,0,0,0,2.3333333333333335,0.0,0.0,0.0,,0.0,0.0,
language,mr,3,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,ckb,2,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,"en@us,en",2,0,0,0,0,2.0,0.0,0.0,0.0,,0.0,0.0,
language,lo,2,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,sl,2,0,0,0,0,5.0,0.0,0.0,0.0,,0.0,0.0,
language,agq,1,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,am,1,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,ast,1,0,0,0,0,7.0,0.0,0.0,0.0,,0.0,0.0,
language,be,1,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,bs,1,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,ka,1,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,ml,1,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,ne,1,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,sw,1,0,0,0,0,5.0,0.0,0.0,0.0,,0.0,0.0,
language,ta,1,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,tl,1,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,yue,1,0,0,0,0,2.0,0.0,0.0,0.0,,0.0,0.0,
channel,(unknown) / (unknown),33485,7775,2210,425,7673,2.9600119456473046,0.5847692996864268,0.23219351948633715,0.06599970135881739,0.2842443729903537,0.012692250261311034,0.2291473794236225,0.9868810289389067
channel,google / cpc,16628,1282,387,871,1273,7.713435169593457,0.21319461149867694,0.07709886937695454,0.023273995669954296,0.30187207488299533,0.0523815251383209,0.07655761366369979,0.9929797191887676
channel,app / (unknown),1717,534,304,285,531,25.69772859638905,1.0576587070471752,0.3110075713453698,0.1770529994175888,0.5692883895131086,0.1659871869539895,0.3092603377984857,0.9943820224719101
channel,app / cpc,24,24,15,16,24,127.20833333333333,4.541666666666667,1.0,0.625,0.625,0.6666666666666666,1.0,1.0
channel,INFLUENCER / INFLUENCER,34,13,10,8,12,47.911764705882355,2.176470588235294,0.38235294117647056,0.29411764705882354,0.7692307692307693,0.23529411764705882,0.35294117647058826,0.9230769230769231
channel,{{site_source_name}} / {{placement}},185,10,6,5,10,8.372972972972972,1.4972972972972973,0.05405405405405406,0.032432432432432434,0.6,0.02702702702702703,0.05405405405405406,1.0
channel,app / INFLUENCER,7,7,6,4,7,174.0,4.714285714285714,1.0,0.8571428571428571,0.8571428571428571,0.5714285714285714,1.0,1.0
channel,BFF / referral,69,6,5,4,6,8.101449275362318,1.8405797101449275,0.08695652173913043,0.07246376811594203,0.8333333333333334,0.057971014492753624,0.08695652173913043,1.0
channel,shuttle-blog / blog,25,10,5,9,10,48.64,2.44,0.4,0.2,0.5,0.36,0.4,1.0
channel,whatsapp / retargeting,7,4,4,1,4,22.571428571428573,3.857142857142857,0.5714285714285714,0.5714285714285714,1.0,0.14285714285714285,0.5714285714285714,1.0
channel,ig / social,25,3,2,3,3,10.92,0.44,0.12,0.08,0.6666666666666666,0.12,0.12,1.0
channel,whatsapp / crm,6,2,2,0,2,2.3333333333333335,2.6666666666666665,0.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0
channel,app / referral,2,2,2,0,2,61.5,6.0,1.0,1.0,1.0,0.0,1.0,1.0
channel,app / {{placement}},2,2,2,2,2,245.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
channel,fb / paid,2415,4,1,3,4,1.2459627329192546,0.007453416149068323,0.0016563146997929607,0.00041407867494824016,0.25,0.0012422360248447205,0.0016563146997929607,1.0
channel,email / marketing,22,1,1,0,1,4.090909090909091,0.2727272727272727,0.045454545454545456,0.045454545454545456,1.0,0.0,0.045454545454545456,1.0
channel,app / link,1,1,1,1,1,164.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
channel,google / demandgen,12379,2,0,2,2,1.352047822925923,0.00024234590839324662,0.00016156393892883107,0.0,0.0,0.00016156393892883107,0.00016156393892883107,1.0
channel,ig / paid,284,2,0,1,2,1.658450704225352,0.014084507042253521,0.007042253521126761,0.0,0.0,0.0035211267605633804,0.007042253521126761,1.0
channel,fb / Facebook_Right_Column,132,0,0,0,0,1.871212121212121,0.0,0.0,0.0,,0.0,0.0,
channel,chatgpt.com / (unknown),49,0,0,0,0,4.959183673469388,0.0,0.0,0.0,,0.0,0.0,
channel,superalink / (unknown),40,0,0,0,0,1.875,0.0,0.0,0.0,,0.0,0.0,
channel,trustpilot / company_profile,33,0,0,0,0,2.0303030303030303,0.0,0.0,0.0,,0.0,0.0,
channel,(unknown) / link,19,0,0,0,0,2.3157894736842106,0.0,0.0,0.0,,0.0,0.0,
channel,tt-ads / link,8,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
channel,an / (unknown),6,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
channel,shuttle-blog / (unknown),6,0,0,0,0,1.3333333333333333,0.0,0.0,0.0,,0.0,0.0,
channel,ig / link,5,1,0,1,1,5.6,0.8,0.2,0.0,0.0,0.2,0.2,1.0
channel,tiktok / link,5,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
channel,instagram / shuttle,4,0,0,0,0,2.75,0.0,0.0,0.0,,0.0,0.0,
channel,chatgpt.com / cpc,3,0,0,0,0,3.3333333333333335,0.0,0.0,0.0,,0.0,0.0,
channel,trustpilot/ / company_profile,3,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
channel,arbstub / arbstub,2,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
channel,ig / Instagram_Stories,2,0,0,0,0,4.5,0.0,0.0,0.0,,0.0,0.0,
channel,ig_text_post_permalink / (unknown),2,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
channel,openai / (unknown),1,0,0,0,0,12.0,0.0,0.0,0.0,,0.0,0.0,
channel,perplexity / (unknown),1,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
