dimension,segment,dropoff_metric,denominator,segment_n,segment_dropoffs,segment_dropoff_rate,rest_dropoff_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
medium,demandgen,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.9118587296249975,False,lower,insurance_dropoff
medium,link,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.9118587296249975,False,lower,insurance_dropoff
medium,marketing,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.912705628466647,False,lower,insurance_dropoff
medium,paid,no_insurance_row_among_reservation_users,reservation_users,6,0,0.0,0.011881392705858043,-0.011881392705858043,-0.26859822853811816,0.7882388756374707,False,0.9118587296249975,False,lower,insurance_dropoff
medium,referral,no_insurance_row_among_reservation_users,reservation_users,8,0,0.0,0.011883848300093003,-0.011883848300093003,-0.3101825677206657,0.756422126167538,False,0.9118587296249975,False,lower,insurance_dropoff
medium,retargeting,no_insurance_row_among_reservation_users,reservation_users,4,0,0.0,0.01187893812622663,-0.01187893812622663,-0.21928688047101796,0.8264265810749173,False,0.9118587296249975,False,lower,insurance_dropoff
medium,social,no_insurance_row_among_reservation_users,reservation_users,3,0,0.0,0.011877711216690767,-0.011877711216690767,-0.18989820167959526,0.8493889016813048,False,0.9118587296249975,False,lower,insurance_dropoff
medium,{{placement}},no_insurance_row_among_reservation_users,reservation_users,12,0,0.0,0.011888762534890934,-0.011888762534890934,-0.3799730482942074,0.7039654217144427,False,0.9118587296249975,False,lower,insurance_dropoff
campaign,(unknown),no_insurance_selected_event_among_reservation_users,reservation_users,8309,7599,0.9145504874232759,0.3234011627906977,0.5911493246325783,54.14274684551655,0.0,True,0.0,True,higher,insurance_dropoff
campaign,120244167499720340,no_insurance_selected_event_among_reservation_users,reservation_users,5,2,0.4,0.8307851239669422,-0.43078512396694213,-2.567100489530192,0.010255288785406757,False,0.03247508115378806,True,lower,insurance_dropoff
campaign,120246525617030340,no_insurance_selected_event_among_reservation_users,reservation_users,1,0,0.0,0.8306484923585296,-0.8306484923585296,-2.214135333793132,0.026819470646929168,False,0.06369624278645677,False,lower,insurance_dropoff
campaign,23205597293,no_insurance_selected_event_among_reservation_users,reservation_users,201,64,0.31840796019900497,0.84141712357655,-0.523009163377545,-19.559718057784345,3.40957312635225e-85,True,2.5912755760277103e-84,True,lower,insurance_dropoff
campaign,23683448292,no_insurance_selected_event_among_reservation_users,reservation_users,70,29,0.4142857142857143,0.8335933437337494,-0.41930762944803507,-9.317854400663514,1.1871663499335801e-20,True,7.518720216246007e-20,True,lower,insurance_dropoff
campaign,23688781100,no_insurance_selected_event_among_reservation_users,reservation_users,261,93,0.3563218390804598,0.8436969439728353,-0.48737510489237557,-20.704308259128105,3.1674950661091764e-95,True,3.0091203128037174e-94,True,lower,insurance_dropoff
campaign,23725606539,no_insurance_selected_event_among_reservation_users,reservation_users,4,4,1.0,0.8304927176944531,0.1695072823055469,0.9035203896673365,0.3662497717626896,False,0.6627376822372478,False,higher,insurance_dropoff
campaign,23735454208,no_insurance_selected_event_among_reservation_users,reservation_users,326,103,0.3159509202453988,0.8484880863340101,-0.5325371660886113,-25.19607761813492,4.422480004816571e-140,True,5.6018080061009906e-139,True,lower,insurance_dropoff
campaign,23754383997,no_insurance_selected_event_among_reservation_users,reservation_users,446,126,0.2825112107623318,0.8570191579175236,-0.5745079471551917,-31.588968487720248,5.233453313419048e-219,True,9.943561295496191e-218,True,lower,insurance_dropoff
campaign,23754385140,no_insurance_selected_event_among_reservation_users,reservation_users,1,0,0.0,0.8306484923585296,-0.8306484923585296,-2.214135333793132,0.026819470646929168,False,0.06369624278645677,False,lower,insurance_dropoff
campaign,BFF_program,no_insurance_selected_event_among_reservation_users,reservation_users,8,4,0.5,0.8308360028934587,-0.3308360028934587,-2.493375111900038,0.012653508907268548,False,0.036987179882784986,True,lower,insurance_dropoff
campaign,INFLUENCER,no_insurance_selected_event_among_reservation_users,reservation_users,20,8,0.4,0.8314536989136058,-0.43145369891360574,-5.138183553140082,2.774068522542804e-07,False,1.317682548207832e-06,True,lower,insurance_dropoff
campaign,abandoned_reservation_v2,no_insurance_selected_event_among_reservation_users,reservation_users,4,3,0.75,0.8305960128085942,-0.08059601280859419,-0.42959889338082863,0.6674874422118671,False,0.9373733481549348,False,lower,insurance_dropoff
campaign,family-special-2026-05,no_insurance_selected_event_among_reservation_users,reservation_users,1,1,1.0,0.830545229244114,0.169454770755886,0.451690214166401,0.6514921689625884,False,0.9373733481549348,False,higher,insurance_dropoff
campaign,influencer,no_insurance_selected_event_among_reservation_users,reservation_users,2,0,0.0,0.8307342765671796,-0.8307342765671796,-3.1314219023429355,0.001739620477925121,False,0.006009598014650419,True,lower,insurance_dropoff
campaign,referral_share_25,no_insurance_selected_event_among_reservation_users,reservation_users,2,2,1.0,0.8305277290096045,0.16947227099039552,0.6388194109578266,0.5229404191383358,False,0.9032607239662163,False,higher,insurance_dropoff
campaign,seoul_zh_2026q2,no_insurance_selected_event_among_reservation_users,reservation_users,2,0,0.0,0.8307342765671796,-0.8307342765671796,-3.1314219023429355,0.001739620477925121,False,0.006009598014650419,True,lower,insurance_dropoff
campaign,shuttle-partnership,no_insurance_selected_event_among_reservation_users,reservation_users,10,1,0.1,0.8313178294573643,-0.7313178294573643,-6.161566492023657,7.202881403078662e-10,False,3.9101356188141305e-09,True,lower,insurance_dropoff
campaign,{{campaign.name}},no_insurance_selected_event_among_reservation_users,reservation_users,12,5,0.4166666666666667,0.831076191460767,-0.41440952479410037,-3.8243747013950338,0.00013110439931619586,False,0.000553551908223938,True,lower,insurance_dropoff
campaign,(unknown),no_insurance_row_among_reservation_users,reservation_users,8309,105,0.012636899747262006,0.007267441860465116,0.00536945788679689,1.7031737713659776,0.0885355535629821,True,0.19790300208195996,False,higher,insurance_dropoff
campaign,120244167499720340,no_insurance_row_among_reservation_users,reservation_users,5,0,0.0,0.011880165289256199,-0.011880165289256199,-0.24518284907574983,0.8063148556198221,False,0.9373733481549348,False,lower,insurance_dropoff
campaign,120246525617030340,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.9373733481549348,False,lower,insurance_dropoff
campaign,23205597293,no_insurance_row_among_reservation_users,reservation_users,201,2,0.009950248756218905,0.011914803880219317,-0.001964555124000412,-0.2544502864578982,0.7991477060023935,True,0.9373733481549348,False,lower,insurance_dropoff
campaign,23683448292,no_insurance_row_among_reservation_users,reservation_users,70,2,0.02857142857142857,0.011752470098803952,0.01681895847262462,1.2943975612418803,0.19552813260322865,True,0.3910562652064573,False,higher,insurance_dropoff
campaign,23688781100,no_insurance_row_among_reservation_users,reservation_users,261,1,0.0038314176245210726,0.012096774193548387,-0.008265356569027315,-1.216030337130384,0.2239733656658103,True,0.4255493947650396,False,lower,insurance_dropoff
campaign,23725606539,no_insurance_row_among_reservation_users,reservation_users,4,0,0.0,0.01187893812622663,-0.01187893812622663,-0.21928688047101796,0.8264265810749173,False,0.9373733481549348,False,lower,insurance_dropoff
campaign,23735454208,no_insurance_row_among_reservation_users,reservation_users,326,4,0.012269938650306749,0.01186024147879047,0.00040969717151627914,0.06713228239712474,0.9464763942190247,True,0.9464763942190246,False,higher,insurance_dropoff
