vehicle_id,vehicle_model_id,model_name,erp_record_created_at_utc_observed_not_acquisition,vehicle_registration_date_observed_not_acquisition,erp_soft_deleted_at_utc_observed_not_sale,acquisition_date,acquisition_date_status,purchase_price_krw,purchase_price_status,sale_or_disposal_date,sale_or_disposal_date_status,sale_price_krw,sale_price_status,holding_period_days,holding_period_status,classification
11679,2143,25년 투싼 하이브리드 4륜(휘),2025-03-06 06:40:49.452918,2025-03-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11705,2133,25년 GV70 4륜(5인/휘),2025-03-17 04:44:31.034478,2025-03-18,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11706,2133,25년 GV70 4륜(5인/휘),2025-03-17 04:44:49.826415,2025-03-18,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11707,2133,25년 GV70 4륜(5인/휘),2025-03-17 04:48:28.413170,2025-03-18,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11708,2120,25년 GV80 4륜(7인/휘),2025-03-17 04:49:30.977034,2025-03-18,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11709,2120,25년 GV80 4륜(7인/휘),2025-03-17 04:49:49.184657,2025-03-18,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11755,2117,25년 더뉴스포티지 하이브리드 4륜(휘),2025-03-27 07:14:40.152162,2025-04-01,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11756,2117,25년 더뉴스포티지 하이브리드 4륜(휘),2025-03-27 07:15:15.262538,2025-04-01,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11757,2117,25년 더뉴스포티지 하이브리드 4륜(휘),2025-03-27 07:15:58.337247,2025-04-01,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11778,2099,25년 EV3(전기),2025-04-01 00:35:53.484765,2025-04-02,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11779,2099,25년 EV3(전기),2025-04-01 00:36:45.222793,2025-04-02,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11780,2099,25년 EV3(전기),2025-04-01 00:38:02.950084,2025-04-02,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11781,2099,25년 EV3(전기),2025-04-01 00:38:19.859012,2025-04-02,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11790,2155,25년 아반떼 하이브리드(휘),2025-04-07 02:20:20.820627,2025-04-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11791,2155,25년 아반떼 하이브리드(휘),2025-04-07 02:20:52.109139,2025-04-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11792,2155,25년 아반떼 하이브리드(휘),2025-04-07 02:21:05.391260,2025-04-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11793,2155,25년 아반떼 하이브리드(휘),2025-04-07 02:21:23.711551,2025-04-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11794,2155,25년 아반떼 하이브리드(휘),2025-04-07 02:25:16.120933,2025-04-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11806,2099,25년 EV3(전기),2025-04-08 00:29:16.853301,2025-04-08,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11873,2155,25년 아반떼 하이브리드(휘),2025-04-14 01:48:12.447741,2025-04-14,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11874,2155,25년 아반떼 하이브리드(휘),2025-04-14 01:50:17.229243,2025-04-14,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11875,2155,25년 아반떼 하이브리드(휘),2025-04-14 01:51:53.701157,2025-04-14,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11876,2155,25년 아반떼 하이브리드(휘),2025-04-14 01:52:10.795321,2025-04-14,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12026,2155,25년 아반떼 하이브리드(휘),2025-04-29 04:43:12.324665,2025-05-12,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12027,2155,25년 아반떼 하이브리드(휘),2025-04-29 04:43:29.763542,2025-05-12,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12028,2155,25년 아반떼 하이브리드(휘),2025-04-29 04:43:46.397777,2025-05-12,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12029,2155,25년 아반떼 하이브리드(휘),2025-04-29 04:44:04.936737,2025-05-12,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12030,2155,25년 아반떼 하이브리드(휘),2025-04-29 04:44:30.092296,2025-05-12,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12031,2213,25년 포르쉐 카이엔 하이브리드 쿠페 4륜,2025-04-29 05:15:00.671743,2025-05-12,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12032,2214,25년 BMW 미니 컨버터블(휘),2025-04-29 06:27:31.519821,2025-05-13,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12033,2214,25년 BMW 미니 컨버터블(휘),2025-04-29 06:28:10.478902,2025-05-13,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12034,2214,25년 BMW 미니 컨버터블(휘),2025-04-29 06:28:38.034312,2025-05-13,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12042,2217,25년 팰리세이드 4륜(휘),2025-05-12 07:08:52.470079,2025-05-15,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12043,2217,25년 팰리세이드 4륜(휘),2025-05-12 07:12:01.358303,2025-05-15,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12044,2217,25년 팰리세이드 4륜(휘),2025-05-12 07:15:58.546759,2025-05-16,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12045,2214,25년 BMW 미니 컨버터블(휘),2025-05-12 07:48:35.462975,2025-05-13,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12046,2214,25년 BMW 미니 컨버터블(휘),2025-05-12 07:48:54.155288,2025-05-13,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12047,2217,25년 팰리세이드 4륜(휘),2025-05-14 06:46:15.185602,2025-05-20,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12048,2217,25년 팰리세이드 4륜(휘),2025-05-14 06:48:48.826053,2025-05-30,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12059,2224,25년 카니발 리무진 하이브리드 7인(휘),2025-05-22 05:01:26.973807,2025-05-29,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12060,2224,25년 카니발 리무진 하이브리드 7인(휘),2025-05-22 05:04:45.901822,2025-05-30,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12061,2224,25년 카니발 리무진 하이브리드 7인(휘),2025-05-22 05:07:13.302551,2025-05-29,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12062,2224,25년 카니발 리무진 하이브리드 7인(휘),2025-05-22 05:08:01.708139,2025-05-29,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12063,2224,25년 카니발 리무진 하이브리드 7인(휘),2025-05-22 05:08:34.145169,2025-05-29,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12066,1879,20년 코나(전기),2025-06-18 04:48:06.229236,2020-05-22,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12067,1879,20년 코나(전기),2025-06-18 04:50:24.456728,2020-05-22,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12068,1879,20년 코나(전기),2025-06-18 04:52:14.208761,2020-05-22,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12069,1879,20년 코나(전기),2025-06-18 04:54:10.838627,2020-05-22,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12070,1879,20년 코나(전기),2025-06-18 04:55:06.607705,2020-05-22,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12071,1879,20년 코나(전기),2025-06-18 05:27:16.918213,2020-05-22,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12072,1879,20년 코나(전기),2025-06-18 05:29:04.488541,2020-05-22,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12073,1879,20년 코나(전기),2025-06-18 05:30:00.195239,2020-05-22,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12074,1879,20년 코나(전기),2025-06-18 05:30:53.030351,2020-05-22,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12075,1879,20년 코나(전기),2025-06-18 05:31:41.379264,2020-05-22,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12076,2225,19년 올뉴K3(휘),2025-06-18 05:36:43.302388,2019-07-17,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12077,2225,19년 올뉴K3(휘),2025-06-18 05:39:19.602625,2019-07-17,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12078,2225,19년 올뉴K3(휘),2025-06-18 05:40:19.506452,2019-07-17,2026-03-18 06:26:32,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12079,2225,19년 올뉴K3(휘),2025-06-18 05:41:05.373441,2019-07-17,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12080,2225,19년 올뉴K3(휘),2025-06-18 05:41:48.785721,2019-07-17,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12081,2225,19년 올뉴K3(휘),2025-06-18 05:43:00.830340,2019-10-08,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12082,2225,19년 올뉴K3(휘),2025-06-18 05:43:48.982801,2019-10-08,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
12083,2225,19년 올뉴K3(휘),2025-06-18 05:46:01.962255,2019-10-08,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
