vehicle_id,vehicle_model_id,model_name,vehicle_class,valid_reservation_count_strong_join,first_pickup_at_utc,last_dropoff_at_utc,rows_with_final_price,booked_final_price_krw_sum_proxy,average_booked_final_price_krw_formula,booked_rental_hours_sum,mileage_observation_count,observed_driven_km_sum,true_utilization_rate,true_utilization_status,join_method,join_quality,classification
9016,1950,24년 스타리아라운지 4륜 7인승(경유),RV,1,2026-08-18 08:00:00,2026-08-22 05:30:00,1,149600,149600.0,93.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
9037,1960,24년 카니발 하이리무진 9인승(경유),RV,1,2026-08-18 23:00:00,2026-08-23 02:30:00,1,302400,302400.0,99.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
9040,1972,24년 G80 4륜(휘),LUXURY,1,2026-08-18 23:30:00,2026-08-21 08:30:00,1,127400,127400.0,57.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
9053,1944,24년 더 뉴 쏘렌토 4륜(7인/휘),SUV,1,2026-08-18 08:00:00,2026-08-20 04:00:00,1,74981,74981.0,44.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
9062,1942,24년 더 뉴 아반떼(휘),COMPACT,1,2026-08-18 06:30:00,2026-08-20 06:00:00,1,44000,44000.0,47.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
9074,1934,24년 BMW 미니 컨버터블(휘),IMPORTED,1,2026-05-28 23:00:00,2026-05-29 22:30:00,1,73150,73150.0,23.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
9084,1943,24년 디올뉴 싼타페 4륜(7인/휘),SUV,1,2026-08-18 23:00:00,2026-08-21 11:00:00,1,120000,120000.0,60.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
9104,1977,24년 코나(휘),SUV,1,2026-08-18 06:00:00,2026-08-20 04:00:00,1,50700,50700.0,46.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
9106,1977,24년 코나(휘),SUV,1,2026-08-18 23:00:00,2026-08-22 06:00:00,1,100240,100240.0,79.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
11402,2099,25년 EV3(전기),EV,1,2026-08-18 06:00:00,2026-08-20 10:00:00,1,123930,123930.0,52.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
11437,2106,25년 레이(휘),URBAN,1,2026-08-18 07:30:00,2026-08-19 23:30:00,1,56000,56000.0,40.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
11513,2120,25년 GV80 4륜(7인/휘),SUV,1,2026-08-18 06:30:00,2026-08-21 05:00:00,1,216000,216000.0,70.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
11598,2124,25년 카니발리무진 7인승(경유),RV,1,2026-08-18 06:30:00,2026-08-25 06:30:00,1,260000,260000.0,168.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
11628,2106,25년 레이(휘),URBAN,1,2026-08-18 06:30:00,2026-08-22 11:00:00,1,107610,107610.0,100.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
11631,2106,25년 레이(휘),URBAN,1,2026-08-18 08:00:00,2026-08-22 00:00:00,1,84000,84000.0,88.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
11657,2143,25년 투싼 하이브리드 4륜(휘),SUV,1,2026-08-18 09:30:00,2026-08-21 04:30:00,1,110677,110677.0,67.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
11873,2155,25년 아반떼 하이브리드(휘),COMPACT,1,2026-08-18 23:00:00,2026-08-21 03:30:00,1,59400,59400.0,52.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12028,2155,25년 아반떼 하이브리드(휘),COMPACT,1,2025-10-22 05:00:00,2025-10-25 00:00:00,1,79700,79700.0,67.0,1,343,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12087,1864,20년 쏘나타DN8(LPG),MIDSIZE,1,2026-08-18 07:00:00,2026-08-20 02:30:00,1,52500,52500.0,43.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12091,1864,20년 쏘나타DN8(LPG),MIDSIZE,1,2026-08-18 08:30:00,2026-08-23 08:30:00,1,131250,131250.0,120.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12094,1873,20년 K5(LPG),MIDSIZE,1,2026-08-18 08:30:00,2026-08-22 08:30:00,1,91000,91000.0,96.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12096,1873,20년 K5(LPG),MIDSIZE,1,2026-08-18 07:00:00,2026-08-20 00:00:00,1,45500,45500.0,41.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12098,1873,20년 K5(LPG),MIDSIZE,1,2026-08-18 09:30:00,2026-08-21 00:00:00,1,68250,68250.0,62.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12100,1873,20년 K5(LPG),MIDSIZE,1,2026-08-18 11:00:00,2026-08-24 10:00:00,1,192150,192150.0,143.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12102,1873,20년 K5(LPG),MIDSIZE,1,2026-08-18 23:00:00,2026-08-21 07:00:00,1,63115,63115.0,56.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12255,2252,26년 BMW 420i 컨버터블(휘),IMPORTED,1,2026-08-18 07:00:00,2026-08-21 05:00:00,1,247500,247500.0,70.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12272,2257,26년 카니발리무진 7인승(휘),RV,1,2026-08-18 11:30:00,2026-08-20 04:30:00,1,128000,128000.0,41.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12577,2291,26년 더 K5 하이브리드(휘),MIDSIZE,1,2026-08-18 11:30:00,2026-08-20 11:00:00,1,62400,62400.0,47.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12591,2290,26년 더 K5 고급형 (휘),MIDSIZE,1,2026-08-18 07:00:00,2026-08-21 07:00:00,1,77550,77550.0,72.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12610,2295,26년 아반떼(휘),COMPACT,1,2026-08-18 11:30:00,2026-08-22 06:30:00,1,123966,123966.0,91.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12615,2295,26년 아반떼(휘),COMPACT,1,2026-08-18 08:30:00,2026-08-23 08:30:00,1,115500,115500.0,120.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12631,2288,26년 스포티지 4륜(휘),SUV,1,2026-08-18 10:00:00,2026-08-22 00:00:00,1,188200,188200.0,86.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
12633,2297,26년 더 K5(휘),MIDSIZE,1,2026-08-18 23:00:00,2026-08-20 11:00:00,1,45100,45100.0,36.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
