vehicle_model_id,model_name,vehicle_class,all_reservation_count,valid_reservation_count,canceled_reservation_count,pending_reservation_count,first_pickup_at_utc,last_observed_dropoff_at_utc,valid_rows_with_final_price,valid_booked_final_price_krw_sum_proxy,average_booked_final_price_krw_formula,valid_booked_rental_hours_sum,valid_joined_vehicle_count_reserved_or_assigned,customer_insurance_fee_krw_sum_not_cost,true_utilization_rate,true_utilization_status,join_method,classification
1947,24년 더뉴그랜저 하이브리드(휘),LUXURY,1393,1072,262,59,2023-12-20 00:00:00,2026-08-24 09:00:00,1063,170674405,160559.1768579492,61281.28,8,219600,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1943,24년 디올뉴 싼타페 4륜(7인/휘),SUV,3459,2671,654,134,2023-09-12 00:00:00,2026-08-22 04:30:00,2660,398275901,149727.78233082706,168380.83,11,1207800,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1939,24년 레이(휘),URBAN,2446,1762,611,73,2023-04-05 00:00:00,2026-08-25 00:00:00,1758,119212753,67811.5773606371,104469.03,5,704000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1955,24년 마이바흐 S580(휘),IMPORTED,20,11,3,6,2024-03-21 00:00:00,2024-08-26 05:00:00,11,9685000,880454.5454545454,511.5,1,780000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1968,24년 벤츠 CLE 컨버터블(휘),IMPORTED,1256,952,240,64,2024-06-25 00:00:00,2026-12-31 11:00:00,938,229894507,245090.09275053305,47310.83,5,198000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1954,24년 벤츠 S500 (휘),IMPORTED,16,9,4,3,2024-03-21 00:00:00,2024-08-26 00:00:00,9,8186640,909626.6666666666,606.0,1,540000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1948,24년 스타리아  11인승(경유),RV,1572,1181,343,48,2023-12-27 00:00:00,2026-08-22 08:00:00,1175,223467197,190184.8485106383,74252.6,10,349800,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1945,24년 스타리아 11인승 4륜(경유),RV,472,350,108,14,2023-11-30 00:00:00,2026-08-17 03:00:00,350,66697709,190564.88285714286,21009.5,2,144000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2012,24년 스타리아 11인승(장기),CITY,4,2,2,0,2023-11-09 23:00:00,2024-12-31 11:00:00,2,336000,168000.0,6446.08,1,0,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1950,24년 스타리아라운지 4륜 7인승(경유),RV,1009,766,197,46,2024-01-30 00:00:00,2026-08-22 05:30:00,766,171489609,223876.77415143602,49732.32,5,273200,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1971,24년 싼타페 하이브리드 4륜 (7인/휘),SUV,1723,1362,303,58,2024-07-05 00:00:00,2026-08-23 02:30:00,1354,225930519,166861.535450517,89294.42,14,83800,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1974,24년 쏘나타 디엣지 하이브리드(휘),MIDSIZE,1193,919,240,34,2024-09-11 00:00:00,2026-08-21 07:30:00,910,103062309,113255.28461538462,56597.15,5,200600,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
