model_family,vehicle_class,model_year_latest,fleet_vehicle_days,booked_vehicle_days,revenue_krw,avg_age_years,utilization_rate,revenue_per_fleet_day,reservation_count,unique_joined_users,avg_reservation_price_krw,family_year_rank_by_revenue_per_fleet_day
스타리아,RV,2026.0,913,226.5013888888889,24223295.685534593,0.35318275154004103,0.2480847632956067,26531.5396336633,99.0,78.0,247766.9797979798,1.0
스포티지,SUV,2022.0,8394,625.7048611111111,35957715.0,3.6842171829896144,0.07454191816906255,4283.740171551108,233.0,188.0,154324.95708154506,3.0
스포티지,SUV,2025.0,7304,2404.85625,143315191.0881775,0.8131416837782341,0.3292519509857612,19621.46646880853,972.0,778.0,147883.02366255145,1.0
스포티지,SUV,2026.0,2046,596.8791666666667,35993725.11564626,0.3214566685633705,0.29172979797979803,17592.24101448986,265.0,204.0,136036.04150943397,2.0
싼타페,SUV,2019.0,196,0.0,0.0,6.134154688569473,0.0,0.0,,,,2.0
싼타페,SUV,2024.0,11760,2804.0465277777776,173852996.08199644,1.8056125941136205,0.23843933059334843,14783.41803418337,1084.0,911.0,160631.98985239852,1.0
쏘나타,MIDSIZE,2020.0,12348,1691.4222222222222,59168540.0,5.805612594113621,0.13697944786380162,4791.7508908325235,734.0,576.0,80611.08991825613,2.0
쏘나타,MIDSIZE,2021.0,5880,463.24097222222224,17704405.0,4.803559206023271,0.07878247826908541,3010.953231292517,160.0,125.0,110652.53125,3.0
쏘나타,MIDSIZE,2024.0,11760,3671.491666666667,157242411.76095238,1.8056125941136205,0.3122016723356009,13370.953381033365,1526.0,1125.0,103186.37876802096,1.0
쏘렌토,SUV,2018.0,294,0.0,0.0,7.13347022587269,0.0,0.0,,,,5.0
쏘렌토,SUV,2021.0,1764,107.65625,6723085.0,4.803559206023271,0.0610296201814059,3811.2726757369614,41.0,35.0,163977.68292682926,4.0
쏘렌토,SUV,2022.0,1764,198.60763888888889,10522576.0875,3.8042436687200545,0.11258936444948349,5965.1791879251705,71.0,61.0,151993.84507042254,3.0
쏘렌토,SUV,2023.0,4116,548.7319444444445,31494372.0,2.8049281314168377,0.13331679894179896,7651.693877551021,208.0,175.0,151415.25,2.0
쏘렌토,SUV,2024.0,12936,2743.898611111111,163450411.83898306,1.8056125941136207,0.21211337439016012,12635.313221937466,1050.0,845.0,155921.26,1.0
쏘울 부스터,COMPACT,2019.0,392,2.0208333333333335,159800.0,6.134154688569473,0.0051551870748299325,407.6530612244898,2.0,0.0,79900.0,1.0
쏠라티,RV,2019.0,1764,47.87430555555556,8667830.0,6.804928131416838,0.02713962899974805,4913.735827664399,20.0,19.0,433391.5,5.0
쏠라티,RV,2023.0,2352,81.98125,18550725.0,2.8049281314168377,0.034855973639455785,7887.213010204082,35.0,31.0,530020.7142857143,4.0
쏠라티,RV,2024.0,588,51.173611111111114,11393735.0,1.8056125941136205,0.0870299508692366,19377.100340136054,26.0,18.0,438220.57692307694,3.0
