model_name,vehicle_class,model_family,model_year_latest,fleet_vehicle_days,booked_vehicle_days,revenue_krw,avg_vehicle_age_years,last_observed_age_years,utilization_rate,revenue_per_fleet_day,old_fleet_vehicle_days,old_booked_vehicle_days,old_revenue_krw,old_utilization_rate,old_revenue_per_fleet_day,reservation_count,unique_joined_users,active_months,avg_reservation_price_krw,avg_rental_hours,old_reservation_count,old_unique_joined_users,old_active_months,old_avg_reservation_price_krw,old_repeat_user_share,old_high_value_user_share,old_revenue_share,class_old_revenue_per_fleet_day_median,old_revenue_vs_class_median,long_hold_score,holding_period_signal,recommended_holding_period_proxy
18/19년 쏠라티(15인/경유),RV,쏠라티,2019.0,1764,47.87430555555556,8667830.0,6.804928131416838,7.60848733744011,0.02713962899974805,4913.735827664399,1764.0,47.87430555555556,8667830.0,0.02713962899974805,4913.735827664399,20.0,19.0,12.0,433391.5,57.4495,20.0,19.0,12.0,433391.5,0.4,0.85,1.0,3064.497444633731,1.6034393620620848,51.088744781035736,추가 관찰,4-6년 구간 모니터링
19년 엑센트(휘),URBAN,엑센트,2019.0,98,0.25,22000.0,6.134154688569473,6.26694045174538,0.002551020408163265,224.48979591836735,98.0,0.25,22000.0,0.002551020408163265,224.48979591836735,1.0,0.0,1.0,22000.0,6.0,1.0,0.0,1.0,22000.0,0.0,0.0,1.0,97.1103896103896,2.3116969957491524,49.88317797215606,교체/매각 검토,6년 전후 교체 검토
19년 더뉴카니발리무진7인(경유),RV,카니발,2019.0,2940,147.83333333333334,10259510.0,6.804928131416838,7.60848733744011,0.05028344671201814,3489.6292517006805,2940.0,147.83333333333334,10259510.0,0.05028344671201814,3489.6292517006805,55.0,52.0,16.0,186536.54545454544,64.50927272727273,55.0,52.0,16.0,186536.54545454544,0.21818181818181817,0.2727272727272727,1.0,3064.497444633731,1.1387280670804283,44.06291382746802,길게 보유 검토,6년+ 장기 보유 검증
20년 코나(전기),EV,코나,2020.0,20580,1960.0069444444443,70310414.32924737,5.805612594113621,6.609171800136893,0.09523843267465716,3416.44384495857,7805.0,723.0472222222222,27200453.69743589,0.09263897786319311,3485.0036768015234,754.0,594.0,20.0,93628.44429708223,62.58912466843501,272.0,227.0,8.0,100638.35294117648,0.22058823529411764,0.13602941176470587,0.38686237247959415,3485.0036768015234,1.0,40.52451294419113,길게 보유 검토,6년+ 장기 보유 검증
20년 올뉴아반떼CN7(휘),COMPACT,아반떼,2020.0,2940,150.07986111111111,4731160.0,5.805612594113621,6.609171800136893,0.05104757180650038,1609.2380952380952,1115.0,26.083333333333332,618820.0,0.023393124065769804,554.9955156950673,65.0,47.0,16.0,72787.07692307692,55.414153846153845,12.0,10.0,4.0,51568.333333333336,0.16666666666666666,0.0,0.13079667565671,407.6530612244898,1.3614408144710035,37.2876641965832,추가 관찰,4-6년 구간 모니터링
19년 더뉴카니발하이리무진7인(경유),RV,카니발,2019.0,1761,61.97222222222222,5396580.0,6.605065023956194,7.208761122518823,0.0351914947315288,3064.497444633731,1761.0,61.97222222222222,5396580.0,0.0351914947315288,3064.497444633731,20.0,14.0,7.0,269829.0,74.36699999999999,20.0,14.0,7.0,269829.0,0.25,0.35,1.0,3064.497444633731,1.0,34.04721592127133,추가 관찰,4-6년 구간 모니터링
18년 올뉴카니발리무진7인(경유),RV,카니발,2018.0,4116,104.9798611111111,7524825.0,7.804243668720056,8.607802874743326,0.02550531125148472,1828.188775510204,4116.0,104.9798611111111,7524825.0,0.02550531125148472,1828.188775510204,37.0,33.0,15.0,203373.64864864864,68.09513513513514,37.0,33.0,15.0,203373.64864864864,0.21621621621621623,0.2702702702702703,1.0,3064.497444633731,0.596570500886389,31.344388492987886,추가 관찰,4-6년 구간 모니터링
18년 뉴레이(휘),URBAN,레이,2018.0,2156,11.565972222222221,209370.0,7.13347022587269,7.266255989048597,0.005364551123479695,97.1103896103896,2156.0,11.565972222222221,209370.0,0.005364551123479695,97.1103896103896,5.0,4.0,3.0,41874.0,55.516,5.0,4.0,3.0,41874.0,0.0,0.0,1.0,97.1103896103896,1.0,26.869787451768307,교체/매각 검토,6년 전후 교체 검토
19년 쏘울 부스터(휘),COMPACT,쏘울 부스터,2019.0,392,2.0208333333333335,159800.0,6.134154688569473,6.26694045174538,0.0051551870748299325,407.6530612244898,392.0,2.0208333333333335,159800.0,0.0051551870748299325,407.6530612244898,2.0,0.0,2.0,79900.0,24.25,2.0,0.0,2.0,79900.0,0.0,0.0,1.0,407.6530612244898,1.0,24.663017851842334,교체/매각 검토,6년 전후 교체 검토
16/18년 올뉴카니발9인(경유),RV,카니발,2018.0,1176,39.90972222222222,1855555.0,7.804243668720056,8.607802874743326,0.033936838624338626,1577.8528911564626,1176.0,39.90972222222222,1855555.0,0.033936838624338626,1577.8528911564626,14.0,9.0,8.0,132539.64285714287,68.41642857142857,14.0,9.0,8.0,132539.64285714287,0.2857142857142857,0.14285714285714285,1.0,3064.497444633731,0.5148814510906038,24.403861730147263,추가 관찰,4-6년 구간 모니터링
18년 뉴k3(휘),COMPACT,K3,2018.0,196,3.666666666666667,71060.0,7.13347022587269,7.266255989048597,0.01870748299319728,362.55102040816325,196.0,3.666666666666667,71060.0,0.01870748299319728,362.55102040816325,1.0,1.0,1.0,71060.0,88.0,1.0,1.0,1.0,71060.0,1.0,1.0,1.0,407.6530612244898,0.8893617021276595,21.17003237118535,교체/매각 검토,6년 전후 교체 검토
20년 베리뉴티볼리(경유),SUV,베리뉴티볼리,2020.0,2352,129.45833333333334,5468090.0,5.805612594113621,6.609171800136893,0.05504180839002268,2324.8681972789113,892.0,27.23611111111111,1227400.0,0.030533756851021426,1376.0089686098654,55.0,45.0,18.0,99419.81818181818,56.491090909090914,13.0,11.0,6.0,94415.38461538461,0.38461538461538464,0.3076923076923077,0.22446594697600075,0.0,,11.601135380378723,추가 관찰,4-6년 구간 모니터링
20년 K5(휘),MIDSIZE,K5,2020.0,5880,177.0625,6525010.0,5.805612594113621,6.609171800136893,0.03011267006802721,1109.6955782312925,2230.0,12.819444444444445,694815.0,0.005748629795714997,311.5762331838565,71.0,58.0,13.0,91901.54929577465,59.85225352112676,5.0,4.0,1.0,138963.0,0.2,0.2,0.1064848942760241,1034.9617232543242,0.3010509724013165,10.53243181708999,교체/매각 검토,6년 전후 교체 검토
20년 쏘나타DN8(휘),MIDSIZE,쏘나타,2020.0,4116,137.58958333333334,4832230.0,5.805612594113621,6.609171800136893,0.033427984288953674,1174.011175898931,1561.0,13.399305555555555,366240.0,0.008583795999715283,234.61883408071748,50.0,41.0,13.0,96644.6,66.0432,5.0,3.0,1.0,73248.0,0.4,0.2,0.07579109438085521,1034.9617232543242,0.22669324749806607,9.10160217039955,교체/매각 검토,6년 전후 교체 검토
20년 셀토스(휘),SUV,셀토스,2020.0,2352,86.01736111111111,3614085.0,5.805612594113621,6.609171800136893,0.036572007275132275,1536.6007653061224,892.0,21.395833333333332,843294.3558282208,0.023986360239162927,945.3972598971086,36.0,27.0,12.0,100391.25,57.345,8.0,7.0,3.0,73756.25,0.375,0.125,0.23333550700335517,0.0,,7.651854820569086,교체/매각 검토,6년 전후 교체 검토
16/18년 올뉴그랜드카니발11인(경유),RV,카니발,2018.0,720,1.4027777777777777,105300.0,7.32785763175907,7.655030800821355,0.0019483024691358023,146.25,720.0,1.4027777777777777,105300.0,0.0019483024691358023,146.25,2.0,2.0,2.0,52650.0,16.835,2.0,2.0,2.0,52650.0,0.5,0.0,1.0,3064.497444633731,0.047723975184283375,4.944150825435432,교체/매각 검토,6년 전후 교체 검토
