model_family,vehicle_class,model_count,fleet_vehicle_days,booked_vehicle_days,revenue_krw,old_fleet_vehicle_days,old_booked_vehicle_days,old_revenue_krw,reservation_count,old_reservation_count,old_active_months,avg_long_hold_score,max_long_hold_score,utilization_rate,revenue_per_fleet_day,old_utilization_rate,old_revenue_per_fleet_day,class_family_old_revenue_median,old_revenue_vs_class_family_median,long_hold_family_score,decline_family_score,family_holding_signal
레이,URBAN,4,17285,4719.779166666667,149372597.33039886,2156.0,11.56597222222222,209370.0,2150.0,5.0,3.0,6.717446862942077,26.869787451768307,0.27305635907819886,8641.747025189405,0.005364551123479694,97.1103896103896,97.1103896103896,1.0,24.630200535459352,42.40886221913008,길면 수익률 하락 차종
쏘울 부스터,COMPACT,1,392,2.0208333333333335,159800.0,392.0,2.0208333333333335,159800.0,2.0,2.0,2.0,24.663017851842337,24.663017851842337,0.0051551870748299325,407.6530612244898,0.0051551870748299325,407.6530612244898,407.6530612244898,1.0,21.48331572909495,47.211203231292515,길면 수익률 하락 차종
베리뉴티볼리,SUV,1,2352,129.45833333333334,5468090.0,892.0,27.23611111111111,1227400.0,55.0,13.0,6.0,11.601135380378723,11.601135380378723,0.05504180839002268,2324.8681972789113,0.030533756851021426,1376.0089686098654,0.0,,20.591821421545923,67.61656078724465,추가 관찰 차종
셀토스,SUV,1,2352,86.01736111111111,3614085.0,892.0,21.395833333333332,843294.3558282208,36.0,8.0,3.0,7.651854820569086,7.651854820569086,0.036572007275132275,1536.6007653061224,0.023986360239162927,945.3972598971086,0.0,,13.579295806440417,80.50340994020927,길면 수익률 하락 차종
스타리아,RV,7,22643,2334.8229166666665,195256969.9355346,0.0,0.0,0.0,908.0,0.0,0.0,0.0,0.0,0.10311455711110129,8623.281806100544,,,4913.735827664399,,0.0,100.0,추가 관찰 차종
스포티지,SUV,6,17744,3627.4402777777777,215266631.20382375,0.0,0.0,0.0,1470.0,0.0,0.0,0.0,0.0,0.20443193630397755,12131.798422217298,,,0.0,,0.0,100.0,추가 관찰 차종
쏘렌토,SUV,9,20874,3598.8944444444446,212190444.92648304,294.0,0.0,0.0,1370.0,0.0,0.0,0.0,0.0,0.17241038825545868,10165.298693421626,0.0,0.0,0.0,,0.0,100.0,길면 수익률 하락 차종
싼타페,SUV,3,11956,2804.0465277777776,173852996.08199644,196.0,0.0,0.0,1084.0,0.0,0.0,0.0,0.0,0.23453048910821156,14541.06691886889,0.0,0.0,0.0,,0.0,100.0,길면 수익률 하락 차종
볼보 XC40,IMPORTED,1,1176,131.35069444444446,11492615.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.11169276738473168,9772.63180272109,,,4470.455311973019,,0.0,100.0,추가 관찰 차종
벤츠,SUPERCAR,1,588,81.52569444444444,39691710.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.1386491402116402,67502.90816326531,,,,,0.0,100.0,추가 관찰 차종
BMW 420i,IMPORTED,3,6240,1171.8986111111112,139289334.0,0.0,0.0,0.0,576.0,0.0,0.0,0.0,0.0,0.1878042646011396,22322.008653846155,,,4470.455311973019,,0.0,100.0,추가 관찰 차종
아우디 Q4 e-tron,IMPORTED,1,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4470.455311973019,,0.0,100.0,추가 관찰 차종
아우디Q5 40 TDI quattro,IMPORTED,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4470.455311973019,,0.0,100.0,추가 관찰 차종
아이오닉,EV,1,5880,981.3756944444444,44685995.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,0.1669006283068783,7599.659013605442,,,3485.0036768015234,,0.0,100.0,추가 관찰 차종
캐스퍼,URBAN,1,5880,1346.6729166666669,42812525.0,0.0,0.0,0.0,582.0,0.0,0.0,0.0,0.0,0.2290260062358277,7281.041666666667,,,97.1103896103896,,0.0,100.0,추가 관찰 차종
