date,model_name,vehicle_class,model_year_latest,model_family,fleet_count,vehicle_age_years,age_bucket,booked_hours,revenue_krw,fleet_vehicle_days,booked_vehicle_days,utilization_rate,revenue_per_fleet_day
2025-01-01,23년 투싼 하이브리드(휘),SUV,2023.0,투싼,7,2.001368925393566,2-3년,0.0,0.0,7,0.0,0.0,0.0
2025-01-01,23년 팰리세이드 4륜(8인/경유),SUV,2023.0,팰리세이드,13,2.001368925393566,2-3년,0.0,0.0,13,0.0,0.0,0.0
2025-01-01,24년 BMW 420i 컨버터블(휘),IMPORTED,2024.0,BMW 420i,5,1.002053388090349,0-1년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,24년 BMW 미니 컨버터블(휘),IMPORTED,2024.0,미니,4,1.002053388090349,0-1년,0.0,0.0,4,0.0,0.0,0.0
2025-01-01,24년 G80 4륜(휘),LUXURY,2024.0,G80,3,1.002053388090349,0-1년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,24년 더 뉴 K3(휘),COMPACT,2024.0,K3,10,1.002053388090349,0-1년,0.0,0.0,10,0.0,0.0,0.0
2025-01-01,24년 더 뉴 K5 하이브리드(휘),MIDSIZE,2024.0,K5,10,1.002053388090349,0-1년,0.0,0.0,10,0.0,0.0,0.0
2025-01-01,24년 더 뉴 K5(휘),MIDSIZE,2024.0,K5,8,1.002053388090349,0-1년,0.0,0.0,8,0.0,0.0,0.0
2025-01-01,24년 더 뉴 셀토스(휘),SUV,2024.0,더 뉴 셀토스,11,1.002053388090349,0-1년,0.0,0.0,11,0.0,0.0,0.0
2025-01-01,24년 더 뉴 쏘렌토 4륜(7인/휘),SUV,2024.0,쏘렌토,13,1.002053388090349,0-1년,0.0,0.0,13,0.0,0.0,0.0
2025-01-01,24년 더 뉴 쏘렌토 하이브리드 4륜(5인/휘),SUV,2024.0,쏘렌토,4,1.002053388090349,0-1년,0.0,0.0,4,0.0,0.0,0.0
2025-01-01,24년 더 뉴 쏘렌토 하이브리드(7인/휘),SUV,2024.0,쏘렌토,5,1.002053388090349,0-1년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,24년 더 뉴 아반떼(휘),COMPACT,2024.0,아반떼,16,1.002053388090349,0-1년,0.0,0.0,16,0.0,0.0,0.0
2025-01-01,24년 더 뉴 카니발 9인승(경유),RV,2024.0,카니발,11,1.002053388090349,0-1년,0.0,0.0,11,0.0,0.0,0.0
2025-01-01,24년 더 뉴 카니발 9인승(휘),RV,2024.0,카니발,5,1.002053388090349,0-1년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,24년 더 뉴 카니발 하이브리드 9인승(휘),RV,2024.0,카니발,2,1.002053388090349,0-1년,0.0,0.0,2,0.0,0.0,0.0
2025-01-01,24년 더 뉴 카니발리무진 7인(경유),RV,2024.0,카니발,4,1.002053388090349,0-1년,0.0,0.0,4,0.0,0.0,0.0
2025-01-01,24년 더 뉴 투싼 4륜(휘),SUV,2024.0,투싼,5,1.002053388090349,0-1년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,24년 더 올뉴머스탱컨버터블2.3 (휘),IMPORTED,2024.0,머스탱,8,1.002053388090349,0-1년,0.0,0.0,8,0.0,0.0,0.0
2025-01-01,24년 더뉴그랜저 하이브리드(휘),LUXURY,2024.0,더뉴그랜저 하이브리드,5,1.002053388090349,0-1년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,24년 디올뉴 싼타페 4륜(7인/휘),SUV,2024.0,싼타페,11,1.002053388090349,0-1년,0.0,0.0,11,0.0,0.0,0.0
2025-01-01,24년 레이(휘),URBAN,2024.0,레이,5,1.002053388090349,0-1년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,24년 벤츠 CLE 컨버터블(휘),IMPORTED,2024.0,벤츠,5,1.002053388090349,0-1년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,24년 스타리아  11인승(경유),RV,2024.0,스타리아,8,1.002053388090349,0-1년,0.0,0.0,8,0.0,0.0,0.0
2025-01-01,24년 스타리아 11인승 4륜(경유),RV,2024.0,스타리아,2,1.002053388090349,0-1년,0.0,0.0,2,0.0,0.0,0.0
2025-01-01,24년 스타리아라운지 4륜 7인승(경유),RV,2024.0,스타리아,5,1.002053388090349,0-1년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,24년 싼타페 하이브리드 4륜 (7인/휘),SUV,2024.0,싼타페,9,1.002053388090349,0-1년,0.0,0.0,9,0.0,0.0,0.0
2025-01-01,24년 쏘나타 디엣지 하이브리드(휘),MIDSIZE,2024.0,쏘나타,5,1.002053388090349,0-1년,1.0,1420.8333333333333,5,0.041666666666666664,0.008333333333333333,284.16666666666663
2025-01-01,24년 쏘나타 디엣지(휘),MIDSIZE,2024.0,쏘나타,15,1.002053388090349,0-1년,17.0,34100.0,15,0.7083333333333334,0.04722222222222223,2273.3333333333335
2025-01-01,24년 쏠라티(15인/경유),RV,2024.0,쏠라티,1,1.002053388090349,0-1년,0.0,0.0,1,0.0,0.0,0.0
2025-01-01,24년 카니발 하이리무진 9인승(경유),RV,2024.0,카니발,5,1.002053388090349,0-1년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,24년 코나(휘),SUV,2024.0,코나,5,1.002053388090349,0-1년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,25년 EV3(전기),EV,2025.0,EV3,1,0.0,0-1년,0.0,0.0,1,0.0,0.0,0.0
2025-01-01,25년 G80 4륜(휘),LUXURY,2025.0,G80,4,0.0,0-1년,0.0,0.0,4,0.0,0.0,0.0
2025-01-01,25년 GV80 쿠페 4륜(5인/휘),SUV,2025.0,GV80,2,0.0,0-1년,0.0,0.0,2,0.0,0.0,0.0
2025-01-01,25년 레이(휘),URBAN,2025.0,레이,10,0.0,0-1년,0.5,580.0,10,0.020833333333333332,0.0020833333333333333,58.0
2025-01-01,25년 카니발 하이브리드 9인승(휘),RV,2025.0,카니발,5,0.0,0-1년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,25년 투싼 4륜(휘),SUV,2025.0,투싼,6,0.0,0-1년,0.0,0.0,6,0.0,0.0,0.0
2025-01-02,16/18년 올뉴그랜드카니발11인(경유),RV,2018.0,카니발,3,7.003422313483915,6-7년,0.0,0.0,3,0.0,0.0,0.0
2025-01-02,16/18년 올뉴카니발9인(경유),RV,2018.0,카니발,7,7.003422313483915,6-7년,0.0,0.0,7,0.0,0.0,0.0
2025-01-02,18/19년 그랜져IG(휘),LUXURY,2019.0,그랜져IG,5,6.0041067761806985,6-7년,0.0,0.0,5,0.0,0.0,0.0
